LICENSEE,DBA,LICENSE,ADDRESS,CITY,ZIP ,AddLong,y,x,url
HADCAV ENTERPRISES INC,PURE MEDICAL DISPENSARY,402R-00457,5702 East Colfax Avenue,Denver,80220,5702 East Colfax Avenue Denver CO 80220,39.740085,-104.921451,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5702%20East%20Colfax%20Avenue%20Denver%20CO%2080220
HCH 3 LLC,THE HIGHWAY,402R-00180,1221 County Road 308,Dumont,80436,1221 County Road 308 Dumont CO 80436,39.76654,-105.617182,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1221%20County%20Road%20308%20Dumont%20CO%2080436
HCH2 LLC,,402R-00092,40 South Main Street,Alma,80420,40 South Main Street Alma CO 80420,39.282603,-106.06177,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=40%20South%20Main%20Street%20Alma%20CO%2080420
HEALTH DEPOT LLC,STICKY BUDS BROADWAY,402R-00101,2262 South Broadway,Denver,80210,2262 South Broadway Denver CO 80210,39.675575,-104.987525,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2262%20South%20Broadway%20Denver%20CO%2080210
HEALTH DEPOT LLC,STICKY BUDS COLFAX,402R-00238,4615 East Colfax Avenue,Denver,80220,4615 East Colfax Avenue Denver CO 80220,39.740175,-104.933326,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4615%20East%20Colfax%20Avenue%20Denver%20CO%2080220
HEALTH SERVICES LLC,GREEN DREAM CANNABIS,402R-00553,"6700 Lookout Road, Suite #5",Boulder,80301,"6700 Lookout Road, Suite #5 Boulder CO 80301",40.07232,-105.19775,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6700%20Lookout%20Road,%20Suite%20#5%20Boulder%20CO%2080301"
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,402R-00148,2568 South Broadway,Denver,80210,2568 South Broadway Denver CO 80210,39.67,-104.987527,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2568%20South%20Broadway%20Denver%20CO%2080210
HERBAL HEALTH LLC,LOCAL PRODUCT OF COLORADO,402R-00543,419 West 13th Avenue,Denver,80204,419 West 13th Avenue Denver CO 80204,39.736875,-104.993397,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=419%20West%2013th%20Avenue%20Denver%20CO%2080204
HERBAL WELLNESS,SWEET LEAF,402R-00472,4400 East Evans Avenue,Denver,80222,4400 East Evans Avenue Denver CO 80222,39.678453,-104.935998,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4400%20East%20Evans%20Avenue%20Denver%20CO%2080222
HERBAL WELLNESS LLC,HERBAL WELLNESS LLC,402R-00215,"400 West South Boulder Road, Suite 2700",Lafayette,80026,"400 West South Boulder Road, Suite 2700 Lafayette CO 80026",39.986898,-105.094961,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=400%20West%20South%20Boulder%20Road,%20Suite%202700%20Lafayette%20CO%2080026"
HERBAL WELLNESS LLC,,402R-00731,1428 East Third Avenue,Longmont,80501,1428 East Third Avenue Longmont CO 80501,40.159707,-105.066717,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1428%20East%20Third%20Avenue%20Longmont%20CO%2080501
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00077,1178 South Kalamath Street,Denver,80223,1178 South Kalamath Street Denver CO 80223,39.69529,-105.000342,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1178%20South%20Kalamath%20Street%20Denver%20CO%2080223
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00078,1568 South Broadway,Denver,80210,1568 South Broadway Denver CO 80210,39.688132,-104.987449,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1568%20South%20Broadway%20Denver%20CO%2080210
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00317,"11002 East Yale Avenue, Unit A",Aurora,80014,"11002 East Yale Avenue, Unit A Aurora CO 80014",39.66752,-104.859972,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=11002%20East%20Yale%20Avenue,%20Unit%20A%20Aurora%20CO%2080014"
HIGH STREET GROWERS LLC,HIGH STREET GROWERS LLC,402R-00164,330 Federal Boulevard,Denver,80219,330 Federal Boulevard Denver CO 80219,39.721717,-105.025038,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=330%20Federal%20Boulevard%20Denver%20CO%2080219
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,402R-00042,3460 West 32nd Avenue,Denver,80211,3460 West 32nd Avenue Denver CO 80211,39.762137,-105.033708,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3460%20West%2032nd%20Avenue%20Denver%20CO%2080211
